year,age,n
2005,13,26.02289
2006,13,22.46636
2007,13,23.04865
2008,13,13.83348
2009,13,9.61056
2010,13,15.82451
2011,13,18.38044
2012,13,7.24535
2013,13,10.53486
2014,13,18.71577
2015,13,10.46544
2016,13,13.64526
2017,13,16.02229
2018,13,18.10803
2019,13,23.66165
2020,13,10.83411
2021,13,23.17527
2022,13,21.74766
2023,13,20.14803
1952,14,26.43133
1953,14,26.42908
1954,14,26.42251
1955,14,26.37791
1956,14,26.31705
1957,14,26.26494
1958,14,26.22676
1959,14,26.15072
1960,14,26.06433
1961,14,25.99186
1962,14,25.88263
1963,14,25.75687
1964,14,25.60574
1965,14,25.50703
1966,14,25.32116
1967,14,25.14091
1968,14,25.01396
1969,14,24.7918
1970,14,24.5757
1971,14,24.41505
1972,14,24.07827
1973,14,23.74323
1974,14,23.55058
1975,14,23.30952
1976,14,23.21303
1977,14,23.00269
1978,14,23.02052
1979,14,23.09237
1980,14,23.0527
1981,14,22.97803
1982,14,22.8255
1983,14,22.51261
1984,14,22.46754
1985,14,22.40596
1986,14,22.27051
1987,14,22.08756
1988,14,21.90194
1989,14,21.57919
1990,14,21.29765
1991,14,20.98303
1992,14,20.7683
1993,14,20.58993
1994,14,20.54408
1995,14,20.49167
1996,14,20.56215
1997,14,20.19219
1998,14,21.80573
1999,14,19.44815
2000,14,18.01216
2001,14,19.19789
2002,14,20.20071
2003,14,20.95807
2004,14,29.96875
2005,14,16.23795
2006,14,19.90484
2007,14,17.00243
2008,14,17.35198
2009,14,10.56449
2010,14,7.4117
2011,14,12.25618
2012,14,14.14659
2013,14,5.5629
2014,14,8.09361
2015,14,14.3512
2016,14,7.9891
2017,14,10.47662
2018,14,12.30493
2019,14,13.80896
2020,14,18.12264
2021,14,8.3558
2022,14,17.89648
2023,14,16.79684
1952,15,21.15286
1953,15,21.1511
1954,15,21.14598
1955,15,21.11117
1956,15,21.06444
1957,15,21.02479
1958,15,20.9961
1959,15,20.93827
1960,15,20.87313
1961,15,20.81886
1962,15,20.7361
1963,15,20.63868
1964,15,20.52137
1965,15,20.44236
1966,15,20.2876
1967,15,20.12291
1968,15,20.00229
1969,15,19.83418
1970,15,19.67291
1971,15,19.5287
1972,15,19.2415
1973,15,18.98137
1974,15,18.82649
1975,15,18.62004
1976,15,18.52235
1977,15,18.34838
1978,15,18.3411
1979,15,18.34026
1980,15,18.30756
1981,15,18.24362
1982,15,18.10841
1983,15,18.00765
1984,15,17.85838
1985,15,17.79557
1986,15,17.72738
1987,15,17.60545
1988,15,17.4638
1989,15,17.23488
1990,15,17.0386
1991,15,16.84902
1992,15,16.62409
1993,15,16.39866
1994,15,16.33162
1995,15,16.24455
1996,15,16.26343
1997,15,16.23362
1998,15,15.80833
1999,15,16.98217
2000,15,15.1022
2001,15,13.94913
2002,15,14.771
2003,15,15.49006
2004,15,16.01581
2005,15,22.83882
2006,15,12.47012
2007,15,15.13475
2008,15,12.86267
2009,15,13.30958
2010,15,8.17888
2011,15,5.761088
2012,15,9.46938
2013,15,10.90403
2014,15,4.290036
2015,15,6.2309
2016,15,11.00087
2017,15,6.158366
2018,15,8.07947
2019,15,9.42725
2020,15,10.62263
2021,15,14.0345
2022,15,6.477858
2023,15,13.8767
1952,16,16.9563
1953,16,16.95493
1954,16,16.95089
1955,16,16.92359
1956,16,16.88749
1957,16,16.85712
1958,16,16.83533
1959,16,16.79102
1960,16,16.74164
1961,16,16.70093
1962,16,16.63831
1963,16,16.56315
1964,16,16.47259
1965,16,16.4113
1966,16,16.28818
1967,16,16.15207
1968,16,16.03882
1969,16,15.88938
1970,16,15.76759
1971,16,15.66111
1972,16,15.41926
1973,16,15.19696
1974,16,15.07929
1975,16,14.91387
1976,16,14.82386
1977,16,14.66972
1978,16,14.65705
1979,16,14.63892
1980,16,14.56863
1981,16,14.51695
1982,16,14.40682
1983,16,14.31568
1984,16,14.31257
1985,16,14.17239
1986,16,14.1083
1987,16,14.04315
1988,16,13.949
1989,16,13.77336
1990,16,13.63679
1991,16,13.50761
1992,16,13.37576
1993,16,13.15326
1994,16,13.03311
1995,16,12.94147
1996,16,12.91906
1997,16,12.86764
1998,16,12.73801
1999,16,12.34174
2000,16,13.22107
2001,16,11.72739
2002,16,10.76483
2003,16,11.36315
2004,16,11.87734
2005,16,12.25123
2006,16,17.6016
2007,16,9.52161
2008,16,11.50013
2009,16,9.90525
2010,16,10.34035
2011,16,6.37815
2012,16,4.4665
2013,16,7.32435
2014,16,8.43739
2015,16,3.314365
2016,16,4.793406
2017,16,8.5094
2018,16,4.766556
2019,16,6.215047
2020,16,7.279223
2021,16,8.25674
2022,16,10.91901
2023,16,5.04054
1952,17,13.61216
1953,17,13.61107
1954,17,13.6079
1955,17,13.58639
1956,17,13.55837
1957,17,13.53494
1958,17,13.51828
1959,17,13.48408
1960,17,13.44637
1961,17,13.41564
1962,17,13.36814
1963,17,13.3102
1964,17,13.24051
1965,17,13.19349
1966,17,13.09693
1967,17,12.98892
1968,17,12.89461
1969,17,12.76158
1970,17,12.65206
1971,17,12.57248
1972,17,12.38618
1973,17,12.19856
1974,17,12.09327
1975,17,11.96612
1976,17,11.89331
1977,17,11.76133
1978,17,11.73786
1979,17,11.71773
1980,17,11.64882
1981,17,11.57254
1982,17,11.48513
1983,17,11.41031
1984,17,11.39807
1985,17,11.37827
1986,17,11.25606
1987,17,11.19695
1988,17,11.14729
1989,17,11.02328
1990,17,10.91827
1991,17,10.83074
1992,17,10.74271
1993,17,10.60253
1994,17,10.47235
1995,17,10.34738
1996,17,10.31093
1997,17,10.24136
1998,17,10.11748
1999,17,9.96651
2000,17,9.63006
2001,17,10.29141
2002,17,9.07429
2003,17,8.30462
2004,17,8.73899
2005,17,9.11569
2006,17,9.47178
2007,17,13.49054
2008,17,7.26376
2009,17,8.88766
2010,17,7.72023
2011,17,8.08789
2012,17,4.960609
2013,17,3.465664
2014,17,5.684738
2015,17,6.53914
2016,17,2.557921
2017,17,3.719144
2018,17,6.607419
2019,17,3.679676
2020,17,4.814948
2021,17,5.676072
2022,17,6.444586
2023,17,8.5237
1952,18,10.94197
1953,18,10.94111
1954,18,10.93859
1955,18,10.92161
1956,18,10.89974
1957,18,10.88158
1958,18,10.86876
1959,18,10.84222
1960,18,10.81319
1961,18,10.78983
1962,18,10.75362
1963,18,10.70883
1964,18,10.6552
1965,18,10.61937
1966,18,10.54398
1967,18,10.45936
1968,18,10.38446
1969,18,10.27492
1970,18,10.17637
1971,18,10.10296
1972,18,9.95853
1973,18,9.81396
1974,18,9.72204
1975,18,9.61165
1976,18,9.55722
1977,18,9.45145
1978,18,9.42489
1979,18,9.39798
1980,18,9.33927
1981,18,9.26804
1982,18,9.1711
1983,18,9.11162
1984,18,9.09919
1985,18,9.07575
1986,18,9.05169
1987,18,8.94825
1988,18,8.90299
1989,18,8.82517
1990,18,8.75302
1991,18,8.68618
1992,18,8.62795
1993,18,8.52983
1994,18,8.45518
1995,18,8.32871
1996,18,8.25772
1997,18,8.1881
1998,18,8.06746
1999,18,7.93215
2000,18,7.79269
2001,18,7.51239
2002,18,7.98234
2003,18,7.01823
2004,18,6.4038
2005,18,6.72696
2006,18,7.06766
2007,18,7.28432
2008,18,10.32858
2009,18,5.631864
2010,18,6.947327
2011,18,6.055226
2012,18,6.309007
2013,18,3.860398
2014,18,2.697392
2015,18,4.418552
2016,18,5.061394
2017,18,1.990202
2018,18,2.896189
2019,18,5.116913
2020,18,2.859268
2021,18,3.765253
2022,18,4.442814
2023,18,5.04564
1952,19,45.91082
1953,19,45.90754
1954,19,45.89764
1955,19,45.83124
1956,19,45.74862
1957,19,45.68125
1958,19,45.63454
1959,19,45.53538
1960,19,45.42972
1961,19,45.34698
1962,19,45.21837
1963,19,45.05254
1964,19,44.85917
1965,19,44.73766
1966,19,44.46159
1967,19,44.15324
1968,19,43.88338
1969,19,43.46698
1970,19,43.07525
1971,19,42.7397
1972,19,42.08143
1973,19,41.45506
1974,19,41.07957
1975,19,40.59954
1976,19,40.3177
1977,19,39.86041
1978,19,39.72366
1979,19,39.55822
1980,19,39.24064
1981,19,38.87342
1982,19,38.38177
1983,19,37.95171
1984,19,37.7423
1985,19,37.50925
1986,19,37.27569
1987,19,37.04774
1988,19,36.78908
1989,19,36.403
1990,19,36.1253
1991,19,35.91144
1992,19,35.73113
1993,19,35.42918
1994,19,35.25612
