year,age,f
1983,11,0.1114364
1984,11,0.1131814
1985,11,0.09299871
1986,11,0.1091617
1987,11,0.08732717
1988,11,0.1246279
1989,11,0.1037968
1990,11,0.06955145
1991,11,0.1131888
1992,11,0.1625816
1993,11,0.112066
1994,11,0.09942111
1995,11,0.08831606
1996,11,0.09709202
1997,11,0.1074849
1998,11,0.1594469
1999,11,0.1111234
2000,11,0.1144305
2001,11,0.1642097
2002,11,0.2686717
2003,11,0.2797242
2004,11,0.2328031
2005,11,0.2447523
2006,11,0.2304929
2007,11,0.222952
2008,11,0.1629365
2009,11,0.2165933
2010,11,0.3494652
2011,11,0.2795311
2012,11,0.2449054
2013,11,0.272229
2014,11,0.2988261
2015,11,0.3367089
2016,11,0.2800559
2017,11,0.2488105
2018,11,0.3189613
2019,11,0.3116251
2020,11,0.3114863
2021,11,0.2844273
2022,11,0.3429077
1954,12,0.001124371
1955,12,0.005688257
1956,12,0.004336892
1957,12,0.009364647
1958,12,0.01275584
1959,12,0.02117312
1960,12,0.0234721
1961,12,0.02297986
1962,12,0.02712713
1963,12,0.03770988
1964,12,0.03616069
1965,12,0.04703989
1966,12,0.08198825
1967,12,0.09906863
1968,12,0.08207747
1969,12,0.06328148
1970,12,0.09469373
1971,12,0.1315342
1972,12,0.1415421
1973,12,0.1757415
1974,12,0.1604338
1975,12,0.09646196
1976,12,0.08056748
1977,12,0.1649314
1978,12,0.1516951
1979,12,0.1001509
1980,12,0.100827
1981,12,0.1136199
1982,12,0.1309206
1983,12,0.1074291
1984,12,0.1091548
1985,12,0.09003325
1986,12,0.1051727
1987,12,0.08450952
1988,12,0.1195207
1989,12,0.1005911
1990,12,0.06676104
1991,12,0.1093274
1992,12,0.1568698
1993,12,0.107414
1994,12,0.0954305
1995,12,0.08443394
1996,12,0.09263951
1997,12,0.103028
1998,12,0.1541017
1999,12,0.1072581
2000,12,0.111307
2001,12,0.1571455
2002,12,0.2582757
2003,12,0.268766
2004,12,0.223098
2005,12,0.2361814
2006,12,0.2224725
2007,12,0.2120333
2008,12,0.1549532
2009,12,0.20562
2010,12,0.3385962
2011,12,0.2716403
2012,12,0.2397852
2013,12,0.2661393
2014,12,0.2916738
2015,12,0.3304546
2016,12,0.2677939
2017,12,0.2370709
2018,12,0.3089507
2019,12,0.2984418
2020,12,0.2979666
2021,12,0.2773831
2022,12,0.3369313
