year,age,n
2008,20,0.1891386
2009,20,0.1654719
2010,20,0.1419481
2011,20,0.121017
2012,20,0.1120006
2013,20,0.0979952
2014,20,0.0924035
2015,20,0.072172
2016,20,0.0694847
2017,20,0.0738274
2018,20,0.0809438
2019,20,0.0864082
2020,20,0.0820179
2021,20,0.0879583
2022,20,0.0927104
2023,20,0.0971611
1995,21,0.320712
1996,21,0.313391
1997,21,0.326976
1998,21,0.331452
1999,21,0.324386
2000,21,0.291744
2001,21,0.281892
2002,21,0.269233
2003,21,0.247067
2004,21,0.228045
2005,21,0.1881501
2006,21,0.1714182
2007,21,0.1548863
2008,21,0.1466653
2009,21,0.1293074
2010,21,0.1147234
2011,21,0.0960467
2012,21,0.0881125
2013,21,0.0756352
2014,21,0.0691348
2015,21,0.0640905
2016,21,0.052023
2017,21,0.0509643
2018,21,0.0575016
2019,21,0.0630468
2020,21,0.0650871
2021,21,0.0638416
2022,21,0.0673035
2023,21,0.0713054
1995,22,0.241008
1996,22,0.235636
1997,22,0.245725
1998,22,0.248995
1999,22,0.243724
2000,22,0.219518
2001,22,0.212298
2002,22,0.203019
2003,22,0.1867106
2004,22,0.1727841
2005,22,0.1432327
2006,22,0.1310443
2007,22,0.1190244
2008,22,0.1133154
2009,22,0.1006184
2010,22,0.0899498
2011,22,0.0779035
2012,22,0.0700919
2013,22,0.0597118
2014,22,0.053507
2015,22,0.048095
2016,22,0.0463077
2017,22,0.038238
2018,22,0.0397349
2019,22,0.0448392
2020,22,0.0475624
2021,22,0.0507241
2022,22,0.0489296
2023,22,0.0518273
1995,23,0.181407
1996,23,0.1774417
1997,23,0.1849615
1998,23,0.1873636
1999,23,0.1834191
2000,23,0.1653948
2001,23,0.1600694
2002,23,0.1532258
2003,23,0.141163
2004,23,0.1309082
2005,23,0.108935
2006,23,0.1000097
2007,23,0.0912312
2008,23,0.0872535
2009,23,0.0779546
2010,23,0.0701796
2011,23,0.061255
2012,23,0.0569546
2013,23,0.047632
2014,23,0.0423344
2015,23,0.0373116
2016,23,0.0348159
2017,23,0.0340942
2018,23,0.029836
2019,23,0.0310126
2020,23,0.0338669
2021,23,0.0371017
2022,23,0.0389261
2023,23,0.037714
1995,24,0.1367245
1996,24,0.1337837
1997,24,0.1394053
1998,24,0.1411777
1999,24,0.1382177
2000,24,0.1247517
2001,24,0.1208032
2002,24,0.11573
2003,24,0.106767
2004,24,0.0991768
2005,24,0.0827847
2006,24,0.0762148
2007,24,0.0697733
2008,24,0.0669868
2009,24,0.0601592
2010,24,0.0544885
2011,24,0.0479011
2012,24,0.0448478
2013,24,0.0387908
2014,24,0.0338289
2015,24,0.0295767
2016,24,0.0270503
2017,24,0.0256676
2018,24,0.0266189
2019,24,0.023303
2020,24,0.0234455
2021,24,0.0264379
2022,24,0.0285013
2023,24,0.0300257
1995,25,0.423082
1996,25,0.414297
1997,25,0.431379
1998,25,0.436581
1999,25,0.427485
2000,25,0.386586
2001,25,0.374777
2002,25,0.359611
2003,25,0.332691
2004,25,0.310088
2005,25,0.260476
2006,25,0.241169
2007,25,0.222418
2008,25,0.21527
2009,25,0.1955262
2010,25,0.1795296
2011,25,0.1605014
2012,25,0.1530397
2013,25,0.1354133
2014,25,0.1241741
2015,25,0.1108313
2016,25,0.1021135
2017,25,0.0954907
2018,25,0.0947037
2019,25,0.0948906
2020,25,0.0895248
2021,25,0.0883232
2022,25,0.0883456
2023,25,0.0902594
