year,age,f
1995,8,0.05080279025
1996,8,0.04303475575
1997,8,0.05285195025
1998,8,0.065188955
1999,8,0.0599469575
2000,8,0.06729557
2001,8,0.064928765
2002,8,0.0751509425
2003,8,0.0694895125
2004,8,0.0897830275
2005,8,0.06805234
2006,8,0.073875955
2007,8,0.0676119725
2008,8,0.0720128675
2009,8,0.071313425
2010,8,0.0681112225
2011,8,0.073238965
2012,8,0.08021383
2013,8,0.06944595
2014,8,0.08989886
2015,8,0.0869553875
2016,8,0.0655363625
2017,8,0.0514505775
2018,8,0.06938146
2019,8,0.0738999025
2020,8,0.0611140525
2021,8,0.052520935
1952,9,0.007234993775
1953,9,0.0070736516
1954,9,0.004434371775
1955,9,0.00693378055
1956,9,0.007248056025
1957,9,0.009409253
1958,9,0.014650777
1959,9,0.01418395425
1960,9,0.01471155025
1961,9,0.0155992645
1962,9,0.01497440175
1963,9,0.01961326425
1964,9,0.01556521525
1965,9,0.015117646
1966,9,0.01600345425
1967,9,0.01697317225
1968,9,0.01549250775
1969,9,0.0182048985
1970,9,0.0152979955
1971,9,0.01663291525
1972,9,0.024268861
1973,9,0.0191185225
1974,9,0.02121204975
1975,9,0.02784547375
1976,9,0.02881533175
1977,9,0.029301312
1978,9,0.024018975
1979,9,0.0316170455
1980,9,0.0307410395
1981,9,0.025486606
1982,9,0.030492662
1983,9,0.0269595355
1984,9,0.02914688525
1985,9,0.03396366875
1986,9,0.026236035
1987,9,0.03782456275
1988,9,0.03433158725
1989,9,0.0339438375
1990,9,0.039870194
1991,9,0.028983897
1992,9,0.04102477475
1993,9,0.04104812025
1994,9,0.05794553
1995,9,0.05029769875
1996,9,0.04400728825
1997,9,0.049122513
1998,9,0.06618563
1999,9,0.05633828
2000,9,0.065298701
2001,9,0.0640067575
2002,9,0.082676435
2003,9,0.06263316
2004,9,0.09101555
2005,9,0.0652875525
2006,9,0.0737664825
2007,9,0.0635742075
2008,9,0.070015695
2009,9,0.076498535
2010,9,0.062591645
2011,9,0.0706990225
2012,9,0.0799897975
2013,9,0.068972765
2014,9,0.08620462
2015,9,0.0758064525
2016,9,0.066170005
2017,9,0.050416318
2018,9,0.06390982
2019,9,0.0707007375
2020,9,0.06035782375
2021,9,0.0536667225
1952,10,0.007285076525
1953,10,0.0071760898
1954,10,0.0043476311
1955,10,0.006881943975
1956,10,0.007222367875
1957,10,0.00953491075
1958,10,0.01479822475
1959,10,0.01409449275
1960,10,0.014592848
1961,10,0.0151290415
1962,10,0.0156416055
1963,10,0.0200841415
1964,10,0.01553858175
1965,10,0.015322977
1966,10,0.0162429545
1967,10,0.01771919025
1968,10,0.0151464475
1969,10,0.01861697925
1970,10,0.01505910225
1971,10,0.01674372775
1972,10,0.02321222325
1973,10,0.01897385025
1974,10,0.0210199435
1975,10,0.02783699
1976,10,0.0280249395
1977,10,0.02925479325
1978,10,0.02414230575
1979,10,0.03234045275
1980,10,0.031407234
1981,10,0.02574421575
1982,10,0.03081022
1983,10,0.0274132095
1984,10,0.02879432825
1985,10,0.03462096225
1986,10,0.02627556925
1987,10,0.03842788975
1988,10,0.03467862075
1989,10,0.0348191295
1990,10,0.03886018725
1991,10,0.02965093925
1992,10,0.03997919475
1993,10,0.04054550175
1994,10,0.0574673075
1995,10,0.05014029925
1996,10,0.04441903075
1997,10,0.0509377425
1998,10,0.063208025
1999,10,0.05813506
2000,10,0.060720665
2001,10,0.0616052325
2002,10,0.0832171425
2003,10,0.0631320975
2004,10,0.08138817
2005,10,0.0639716425
2006,10,0.07033651
2007,10,0.0644442575
2008,10,0.0695864575
2009,10,0.071448585
2010,10,0.06532755
2011,10,0.0634280425
2012,10,0.077948305
2013,10,0.0653054025
2014,10,0.087470975
2015,10,0.074246325
2016,10,0.060684295
2017,10,0.050494025
2018,10,0.062207345
2019,10,0.0688655925
2020,10,0.058215705
2021,10,0.052157396
