sex,year,age,n
1,2016,18,0.0716977
1,2017,18,0.0718716
1,2018,18,0.0706344
1,2019,18,0.0758859
1,2020,18,0.078716
1,2021,18,0.0835506
1,2022,18,0.0919209
1,2023,18,0.0911991
2,1995,18,0.382441
2,1996,18,0.3728
2,1997,18,0.389793
2,1998,18,0.39574
2,1999,18,0.387033
2,2000,18,0.345846
2,2001,18,0.332772
2,2002,18,0.316016
2,2003,18,0.287186
2,2004,18,0.262045
2,2005,18,0.21177
2,2006,18,0.189453
2,2007,18,0.167524
2,2008,18,0.151508
2,2009,18,0.130427
2,2010,18,0.11477
2,2011,18,0.100363
2,2012,18,0.0978422
2,2013,18,0.0742731
2,2014,18,0.0699785
2,2015,18,0.0701806
2,2016,18,0.0710599
2,2017,18,0.071212
2,2018,18,0.0699104
2,2019,18,0.0750408
2,2020,18,0.0778197
2,2021,18,0.0825863
2,2022,18,0.0909225
2,2023,18,0.0902987
1,1995,19,0.286326
1,1996,19,0.279292
1,1997,19,0.291888
1,1998,19,0.296211
1,1999,19,0.289729
1,2000,19,0.259341
1,2001,19,0.249891
1,2002,19,0.237786
1,2003,19,0.216808
1,2004,19,0.198655
1,2005,19,0.161686
1,2006,19,0.145704
1,2007,19,0.12994
1,2008,19,0.12159
1,2009,19,0.102891
1,2010,19,0.0899643
1,2011,19,0.077288
1,2012,19,0.0730861
1,2013,19,0.065921
1,2014,19,0.0524011
1,2015,19,0.0485045
1,2016,19,0.0506339
1,2017,19,0.0522133
1,2018,19,0.0557757
1,2019,19,0.0547989
1,2020,19,0.056862
1,2021,19,0.0610181
1,2022,19,0.063583
1,2023,19,0.0704005
2,1995,19,0.285388
2,1996,19,0.278502
2,1997,19,0.29091
2,1998,19,0.295151
2,1999,19,0.288755
2,2000,19,0.258783
2,2001,19,0.24945
2,2002,19,0.237459
2,2003,19,0.216687
2,2004,19,0.198651
2,2005,19,0.16194
2,2006,19,0.145914
2,2007,19,0.130062
2,2008,19,0.121507
2,2009,19,0.102711
2,2010,19,0.0896964
2,2011,19,0.0769857
2,2012,19,0.0726683
2,2013,19,0.0655143
2,2014,19,0.0520494
2,2015,19,0.0481847
2,2016,19,0.050295
2,2017,19,0.0518505
2,2018,19,0.0553255
2,2019,19,0.0543
2,2020,19,0.0563143
2,2021,19,0.0603952
2,2022,19,0.062943
2,2023,19,0.0697225
1,1995,20,0.213986
1,1996,20,0.20891
