year,season,area,age,n
1983,2,1,11,78475
1983,2,1,12,19233.2
1983,2,1,13,47046
1983,2,1,14,30449.1
1983,2,1,15,65124.4
1983,2,1,16,116769
1984,2,1,1,770734
1984,2,1,2,4610710
1984,2,1,3,819002
1984,2,1,4,725734
1984,2,1,5,808846
1984,2,1,6,850221
1984,2,1,7,597599
1984,2,1,8,95693.1
1984,2,1,9,136320
1984,2,1,10,217715
1984,2,1,11,86300.6
1984,2,1,12,20842.6
1984,2,1,13,47116.1
1984,2,1,14,85329.7
1984,2,1,15,33835.9
1984,2,1,16,93878.3
1985,2,1,1,3761110
1985,2,1,2,9194750
1985,2,1,3,1148160
1985,2,1,4,643318
1985,2,1,5,68130
1985,2,1,6,1240360
1985,2,1,7,318302
1985,2,1,8,187219
1985,2,1,9,197647
1985,2,1,10,197589
1985,2,1,11,193454
1985,2,1,12,26408.1
1985,2,1,13,32211.3
1985,2,1,14,62997
1985,2,1,15,34875.5
1985,2,1,16,87951.5
1986,2,1,1,344072
1986,2,1,2,27300500
1986,2,1,3,836433
1986,2,1,4,411911
1986,2,1,5,200299
1986,2,1,6,282768
1986,2,1,7,626460
1986,2,1,8,76701.9
1986,2,1,9,25044.9
1986,2,1,10,371366
1986,2,1,11,145423
1986,2,1,12,57304.8
1986,2,1,13,52324.2
1986,2,1,14,68492.3
1986,2,1,15,68175.3
1986,2,1,16,87555.4
1987,2,1,1,633010
1987,2,1,2,18755000
1987,2,1,3,658734
1987,2,1,4,542693
1987,2,1,5,117960
1987,2,1,6,1806800
1987,2,1,7,283446
1987,2,1,8,192927
1987,2,1,9,51072.8
1987,2,1,10,77514.4
1987,2,1,11,213614
1987,2,1,12,17293.3
1987,2,1,13,9144.88
1987,2,1,14,111593
1987,2,1,15,58098.1
1987,2,1,16,110163
1988,2,1,1,290159
1988,2,1,2,12726200
1988,2,1,3,1282640
1988,2,1,4,887887
1988,2,1,5,636601
1988,2,1,6,1162900
1988,2,1,7,180961
1988,2,1,8,158678
