sex,year,age,f
2,2023,10,0.12569
1,1995,11,0.260638
2,1995,11,0.262316
1,1996,11,0.157928
2,1996,11,0.15889
1,1997,11,0.197036
2,1997,11,0.198233
1,1998,11,0.250114
2,1998,11,0.251634
1,1999,11,0.372821
2,1999,11,0.375105
1,2000,11,0.270292
2,2000,11,0.271983
1,2001,11,0.284009
2,2001,11,0.285762
1,2002,11,0.341983
2,2002,11,0.344144
1,2003,11,0.329889
2,2003,11,0.33197
1,2004,11,0.487317
2,2004,11,0.490393
1,2005,11,0.3331
2,2005,11,0.335186
1,2006,11,0.341072
2,2006,11,0.343241
1,2007,11,0.263138
2,2007,11,0.264799
1,2008,11,0.358223
2,2008,11,0.360491
1,2009,11,0.33991
2,2009,11,0.342087
1,2010,11,0.372587
2,2010,11,0.374955
1,2011,11,0.260255
2,2011,11,0.261858
1,2012,11,0.372941
2,2012,11,0.375294
1,2013,11,0.306523
2,2013,11,0.308431
1,2014,11,0.331057
2,2014,11,0.333119
1,2015,11,0.273876
2,2015,11,0.275568
1,2016,11,0.248267
2,2016,11,0.249786
1,2017,11,0.155204
2,2017,11,0.15609
1,2018,11,0.157802
2,2018,11,0.15871
1,2019,11,0.204047
2,2019,11,0.205239
1,2020,11,0.160009
2,2020,11,0.160941
1,2021,11,0.18926
2,2021,11,0.190415
1,2022,11,0.173157
2,2022,11,0.174136
1,2023,11,0.117613
2,2023,11,0.118359
1,1995,12,0.244587
2,1995,12,0.245309
1,1996,12,0.148988
2,1996,12,0.149403
1,1997,12,0.186147
2,1997,12,0.186665
1,1998,12,0.235854
2,1998,12,0.23651
1,1999,12,0.35107
2,1999,12,0.352054
1,2000,12,0.254218
2,2000,12,0.254947
1,2001,12,0.267307
2,2001,12,0.268063
1,2002,12,0.321426
2,2002,12,0.322357
1,2003,12,0.310047
2,2003,12,0.310943
1,2004,12,0.45797
2,2004,12,0.459295
1,2005,12,0.313384
2,2005,12,0.314284
1,2006,12,0.320449
2,2006,12,0.321383
1,2007,12,0.247391
2,2007,12,0.248107
1,2008,12,0.336634
2,2008,12,0.337611
1,2009,12,0.319167
2,2009,12,0.320104
1,2010,12,0.35018
2,2010,12,0.351201
1,2011,12,0.245448
2,2011,12,0.246141
1,2012,12,0.350819
2,2012,12,0.351834
1,2013,12,0.288821
2,2013,12,0.289645
1,2014,12,0.311881
2,2014,12,0.312771
1,2015,12,0.258343
2,2015,12,0.259075
1,2016,12,0.234353
2,2016,12,0.23501
1,2017,12,0.147698
2,2017,12,0.148085
1,2018,12,0.14983
2,2018,12,0.150225
1,2019,12,0.193536
2,2019,12,0.194054
1,2020,12,0.151743
2,2020,12,0.152148
1,2021,12,0.178654
2,2021,12,0.179153
1,2022,12,0.164628
2,2022,12,0.165054
1,2023,12,0.110491
2,2023,12,0.110812
1,1995,13,0.229986
2,1995,13,0.229792
1,1996,13,0.140853
2,1996,13,0.140745
1,1997,13,0.176239
2,1997,13,0.176107
1,1998,13,0.22288
2,1998,13,0.222709
1,1999,13,0.331279
2,1999,13,0.331019
1,2000,13,0.239595
2,2000,13,0.239401
1,2001,13,0.252112
2,2001,13,0.251912
1,2002,13,0.302724
2,2002,13,0.302476
1,2003,13,0.291996
2,2003,13,0.291757
1,2004,13,0.431272
2,2004,13,0.430919
1,2005,13,0.295447
2,2005,13,0.29521
1,2006,13,0.301687
2,2006,13,0.301439
1,2007,13,0.233065
2,2007,13,0.232875
1,2008,13,0.316993
2,2008,13,0.316733
1,2009,13,0.300296
2,2009,13,0.300046
1,2010,13,0.329795
2,2010,13,0.329525
1,2011,13,0.231975
2,2011,13,0.231797
1,2012,13,0.330693
2,2012,13,0.330426
1,2013,13,0.272714
2,2013,13,0.272501
1,2014,13,0.294433
2,2014,13,0.294202
1,2015,13,0.24421
2,2015,13,0.244022
1,2016,13,0.221692
2,2016,13,0.221524
1,2017,13,0.140865
2,2017,13,0.140774
1,2018,13,0.142574
2,2018,13,0.142478
1,2019,13,0.18397
2,2019,13,0.183843
1,2020,13,0.144221
2,2020,13,0.144121
1,2021,13,0.169003
2,2021,13,0.168875
1,2022,13,0.156864
2,2022,13,0.156761
1,2023,13,0.104011
2,2023,13,0.103926
1,1995,14,0.217529
2,1995,14,0.216583
1,1996,14,0.133924
2,1996,14,0.133386
1,1997,14,0.167809
2,1997,14,0.167144
1,1998,14,0.211821
2,1998,14,0.21097
1,1999,14,0.314397
2,1999,14,0.313113
1,2000,14,0.227122
2,2000,14,0.226171
1,2001,14,0.239149
2,2001,14,0.238163
1,2002,14,0.286773
2,2002,14,0.285556
1,2003,14,0.276597
2,2003,14,0.275425
1,2004,14,0.408498
2,2004,14,0.406765
1,2005,14,0.280154
2,2005,14,0.278982
1,2006,14,0.285687
2,2006,14,0.284465
1,2007,14,0.220849
2,2007,14,0.219914
1,2008,14,0.300241
2,2008,14,0.298963
1,2009,14,0.2842
2,2009,14,0.282973
1,2010,14,0.312414
2,2010,14,0.311083
1,2011,14,0.220503
2,2011,14,0.219608
1,2012,14,0.313539
2,2012,14,0.312218
1,2013,14,0.258997
2,2013,14,0.25793
1,2014,14,0.279572
2,2014,14,0.278418
1,2015,14,0.23218
2,2015,14,0.231237
1,2016,14,0.210918
2,2016,14,0.210071
1,2017,14,0.135077
2,2017,14,0.134594
1,2018,14,0.136413
2,2018,14,0.135914
1,2019,14,0.175845
2,2019,14,0.175189
1,2020,14,0.13783
2,2020,14,0.137316
