area,sex,year,age,n
1,1,1991,6,27.132
1,1,1992,6,25.6939
1,1,1993,6,28.0038
1,1,1994,6,30.5832
1,1,1995,6,32.9457
1,1,1996,6,49.565
1,1,1997,6,28.0178
1,1,1998,6,34.6518
1,1,1999,6,30.1088
1,1,2000,6,31.3976
1,1,2001,6,19.3724
1,1,2002,6,13.7693
1,1,2003,6,22.9009
1,1,2004,6,26.906
1,1,2005,6,10.7927
1,1,2006,6,15.9761
1,1,2007,6,29.2505
1,1,2008,6,16.7319
1,1,2009,6,22.1577
1,1,2010,6,26.1841
1,1,2011,6,29.5348
1,1,2012,6,38.5704
1,1,2013,6,17.6814
1,1,2014,6,37.9692
1,1,2015,6,35.7617
1,1,2016,6,33.2795
1,1,2017,6,23.8274
1,1,2018,6,27.4214
1,1,2019,6,22.5236
1,1,2020,6,8.52363
1,1,2021,6,18.436
1,1,2022,6,10.2057
1,1,2023,6,16.9111
1,1,1952,7,26.9619
1,1,1953,7,26.9547
1,1,1954,7,26.933
1,1,1955,7,26.8275
1,1,1956,7,26.7607
1,1,1957,7,26.7155
1,1,1958,7,26.656
1,1,1959,7,26.5508
1,1,1960,7,26.5105
1,1,1961,7,26.5075
1,1,1962,7,26.458
1,1,1963,7,26.2833
1,1,1964,7,26.116
1,1,1965,7,26.065
1,1,1966,7,25.7464
1,1,1967,7,25.4637
1,1,1968,7,25.3557
1,1,1969,7,24.9992
1,1,1970,7,24.852
1,1,1971,7,24.7434
1,1,1972,7,24.5166
1,1,1973,7,24.2508
1,1,1974,7,24.0764
1,1,1975,7,23.8405
1,1,1976,7,23.7549
1,1,1977,7,23.638
1,1,1978,7,24.0295
1,1,1979,7,24.233
1,1,1980,7,24.266
1,1,1981,7,24.1428
1,1,1982,7,23.8466
1,1,1983,7,23.4284
1,1,1984,7,23.0941
1,1,1985,7,22.8285
1,1,1986,7,22.5881
1,1,1987,7,22.5271
1,1,1988,7,22.542
1,1,1989,7,22.4258
1,1,1990,7,21.9388
1,1,1991,7,23.9956
1,1,1992,7,21.8142
1,1,1993,7,20.5412
1,1,1994,7,22.5209
1,1,1995,7,24.4965
1,1,1996,7,26.5654
1,1,1997,7,39.3931
1,1,1998,7,21.705
1,1,1999,7,26.7596
1,1,2000,7,23.1856
1,1,2001,7,24.1897
1,1,2002,7,14.9361
1,1,2003,7,10.5412
1,1,2004,7,17.6632
1,1,2005,7,20.7833
1,1,2006,7,8.35951
1,1,2007,7,12.5532
1,1,2008,7,22.8901
1,1,2009,7,13.0264
1,1,2010,7,17.2738
1,1,2011,7,20.4013
1,1,2012,7,22.987
1,1,2013,7,30.0093
1,1,2014,7,13.801
1,1,2015,7,29.5715
1,1,2016,7,27.837
1,1,2017,7,25.7886
1,1,2018,7,18.3628
1,1,2019,7,21.0971
1,1,2020,7,17.2577
1,1,2021,7,6.66713
1,1,2022,7,14.4264
1,1,2023,7,7.95185
1,1,1952,8,22.2008
1,1,1953,8,22.1961
1,1,1954,8,22.1814
1,1,1955,8,22.1065
1,1,1956,8,22.0541
1,1,1957,8,22.0139
1,1,1958,8,21.9613
1,1,1959,8,21.8703
1,1,1960,8,21.8089
1,1,1961,8,21.7811
1,1,1962,8,21.7594
1,1,1963,8,21.6346
1,1,1964,8,21.4813
1,1,1965,8,21.4133
1,1,1966,8,21.1813
1,1,1967,8,20.9483
1,1,1968,8,20.8189
1,1,1969,8,20.5155
1,1,1970,8,20.3864
1,1,1971,8,20.2533
1,1,1972,8,20.0004
1,1,1973,8,19.8043
1,1,1974,8,19.639
1,1,1975,8,19.4214
1,1,1976,8,19.4958
1,1,1977,8,19.2419
1,1,1978,8,19.4706
1,1,1979,8,19.6636
1,1,1980,8,19.7297
1,1,1981,8,19.6771
1,1,1982,8,19.5186
1,1,1983,8,19.2358
1,1,1984,8,19.0511
1,1,1985,8,18.7475
1,1,1986,8,18.4463
1,1,1987,8,18.3314
1,1,1988,8,18.2616
1,1,1989,8,18.1341
1,1,1990,8,18.0548
1,1,1991,8,17.781
1,1,1992,8,19.4663
1,1,1993,8,17.6027
1,1,1994,8,16.6682
1,1,1995,8,18.2132
1,1,1996,8,19.9276
1,1,1997,8,21.3354
1,1,1998,8,30.9225
1,1,1999,8,16.9861
1,1,2000,8,20.8934
1,1,2001,8,18.1125
1,1,2002,8,18.9226
1,1,2003,8,11.6179
1,1,2004,8,8.25927
1,1,2005,8,13.8506
1,1,2006,8,16.3328
1,1,2007,8,6.64774
1,1,2008,8,9.94084
1,1,2009,8,18.0325
1,1,2010,8,10.269
1,1,2011,8,13.6053
1,1,2012,8,16.0472
1,1,2013,8,18.0638
1,1,2014,8,23.6637
1,1,2015,8,10.8632
1,1,2016,8,23.2711
1,1,2017,8,21.8129
1,1,2018,8,20.1127
1,1,2019,8,14.3026
1,1,2020,8,16.3651
1,1,2021,8,13.6254
1,1,2022,8,5.2657
1,1,2023,8,11.3528
1,1,1952,9,18.3604
1,1,1953,9,18.3573
1,1,1954,9,18.3473
1,1,1955,9,18.2954
1,1,1956,9,18.2568
1,1,1957,9,18.224
1,1,1958,9,18.1804
1,1,1959,9,18.1075
1,1,1960,9,18.0494
1,1,1961,9,18.0026
1,1,1962,9,17.967
1,1,1963,9,17.8867
1,1,1964,9,17.7774
1,1,1965,9,17.6999
1,1,1966,9,17.5115
1,1,1967,9,17.3405
1,1,1968,9,17.2208
1,1,1969,9,16.9657
1,1,1970,9,16.8305
1,1,1971,9,16.7156
1,1,1972,9,16.4908
1,1,1973,9,16.273
1,1,1974,9,16.1524
1,1,1975,9,15.965
1,1,1976,9,15.9774
1,1,1977,9,15.9093
1,1,1978,9,15.9321
1,1,1979,9,16.0348
1,1,1980,9,16.1244
1,1,1981,9,16.1208
1,1,1982,9,16.0334
1,1,1983,9,15.8676
1,1,1984,9,15.7441
1,1,1985,9,15.5683
1,1,1986,9,15.2619
1,1,1987,9,15.0732
1,1,1988,9,14.967
1,1,1989,9,14.8148
1,1,1990,9,14.7189
1,1,1991,9,14.737
1,1,1992,9,14.5274
1,1,1993,9,15.8292
1,1,1994,9,14.3819
1,1,1995,9,13.584
1,1,1996,9,14.9193
1,1,1997,9,16.1442
1,1,1998,9,16.9459
1,1,1999,9,24.4953
1,1,2000,9,13.4292
1,1,2001,9,16.5272
1,1,2002,9,14.3481
1,1,2003,9,14.9226
1,1,2004,9,9.22766
1,1,2005,9,6.56538
1,1,2006,9,11.0268
1,1,2007,9,13.1285
1,1,2008,9,5.31945
1,1,2009,9,7.91512
1,1,2010,9,14.3586
1,1,2011,9,8.16523
1,1,2012,9,10.8029
1,1,2013,9,12.7199
1,1,2014,9,14.3569
1,1,2015,9,18.7877
1,1,2016,9,8.62622
1,1,2017,9,18.4112
1,1,2018,9,17.1922
1,1,2019,9,15.8367
1,1,2020,9,11.2201
1,1,2021,9,13.0272
1,1,2022,9,10.8457
1,1,2023,9,4.17997
1,1,1952,10,15.2288
1,1,1953,10,15.2266
1,1,1954,10,15.2199
1,1,1955,10,15.1839
1,1,1956,10,15.1567
1,1,1957,10,15.132
1,1,1958,10,15.0977
1,1,1959,10,15.0412
1,1,1960,10,14.9926
1,1,1961,10,14.9471
1,1,1962,10,14.8998
1,1,1963,10,14.8247
1,1,1964,10,14.754
1,1,1965,10,14.6976
1,1,1966,10,14.5421
1,1,1967,10,14.4009
1,1,1968,10,14.3094
1,1,1969,10,14.1082
1,1,1970,10,13.9777
1,1,1971,10,13.861
1,1,1972,10,13.6842
1,1,1973,10,13.489
1,1,1974,10,13.3433
1,1,1975,10,13.2067
1,1,1976,10,13.188
1,1,1977,10,13.1111
1,1,1978,10,13.2161
1,1,1979,10,13.1782
1,1,1980,10,13.2181
1,1,1981,10,13.2506
1,1,1982,10,13.2144
1,1,1983,10,13.1138
1,1,1984,10,13.0496
1,1,1985,10,12.9309
1,1,1986,10,12.7438
1,1,1987,10,12.5334
1,1,1988,10,12.371
1,1,1989,10,12.2194
1,1,1990,10,12.0994
1,1,1991,10,12.0786
1,1,1992,10,12.1038
1,1,1993,10,11.8834
1,1,1994,10,13.0002
1,1,1995,10,11.788
1,1,1996,10,11.1841
1,1,1997,10,12.1702
1,1,1998,10,12.9471
1,1,1999,10,13.5571
1,1,2000,10,19.564
1,1,2001,10,10.7316
1,1,2002,10,13.224
1,1,2003,10,11.4399
1,1,2004,10,11.9755
1,1,2005,10,7.41416
1,1,2006,10,5.28273
1,1,2007,10,8.94096
1,1,2008,10,10.5979
1,1,2009,10,4.27312
1,1,2010,10,6.35599
1,1,2011,10,11.5095
1,1,2012,10,6.53352
1,1,2013,10,8.62742
1,1,2014,10,10.1745
1,1,2015,10,11.4718
1,1,2016,10,15.0201
1,1,2017,10,6.87668
1,1,2018,10,14.6357
1,1,2019,10,13.6574
1,1,2020,10,12.5409
1,1,2021,10,8.99212
1,1,2022,10,10.4366
1,1,2023,10,8.66991
1,1,1952,11,12.6557
1,1,1953,11,12.6542
1,1,1954,11,12.6495
1,1,1955,11,12.6243
1,1,1956,11,12.6054
1,1,1957,11,12.5878
1,1,1958,11,12.5622
1,1,1959,11,12.5194
1,1,1960,11,12.4807
1,1,1961,11,12.4423
1,1,1962,11,12.3986
1,1,1963,11,12.3255
1,1,1964,11,12.261
1,1,1965,11,12.2258
1,1,1966,11,12.1149
1,1,1967,11,11.9967
1,1,1968,11,11.9144
1,1,1969,11,11.7667
1,1,1970,11,11.6567
1,1,1971,11,11.5458
1,1,1972,11,11.3908
1,1,1973,11,11.2348
1,1,1974,11,11.1008
1,1,1975,11,10.9548
1,1,1976,11,10.9383
1,1,1977,11,10.863
1,1,1978,11,10.9145
1,1,1979,11,10.9621
1,1,1980,11,10.9015
1,1,1981,11,10.9067
1,1,1982,11,10.909
1,1,1983,11,10.8568
1,1,1984,11,10.8226
1,1,1985,11,10.7557
1,1,1986,11,10.6278
1,1,1987,11,10.5009
1,1,1988,11,10.323
1,1,1989,11,10.1449
1,1,1990,11,10.0228
1,1,1991,11,9.96573
1,1,1992,11,9.95798
1,1,1993,11,9.94269
1,1,1994,11,9.79568
1,1,1995,11,10.7
1,1,1996,11,9.73895
1,1,1997,11,9.16865
1,1,1998,11,9.83198
1,1,1999,11,10.4353
1,1,2000,11,10.9093
1,1,2001,11,15.7528
1,1,2002,11,8.6497
1,1,2003,11,10.6288
1,1,2004,11,9.2484
1,1,2005,11,9.6932
1,1,2006,11,6.01152
1,1,2007,11,4.31185
1,1,2008,11,7.26657
1,1,2009,11,8.57402
1,1,2010,11,3.45437
1,1,2011,11,5.12816
1,1,2012,11,9.26724
1,1,2013,11,5.24912
1,1,2014,11,6.93768
1,1,2015,11,8.17031
1,1,2016,11,9.21358
1,1,2017,11,12.0383
1,1,2018,11,5.50138
1,1,2019,11,11.7047
1,1,2020,11,10.8937
1,1,2021,11,10.1033
1,1,2022,11,7.24013
1,1,2023,11,8.38885
1,1,1952,12,10.5303
1,1,1953,12,10.5293
1,1,1954,12,10.5259
1,1,1955,12,10.5079
1,1,1956,12,10.4947
1,1,1957,12,10.4825
1,1,1958,12,10.4641
1,1,1959,12,10.4324
1,1,1960,12,10.4027
1,1,1961,12,10.3719
1,1,1962,12,10.3357
1,1,1963,12,10.2738
1,1,1964,12,10.212
1,1,1965,12,10.1752
1,1,1966,12,10.0996
1,1,1967,12,10.0153
1,1,1968,12,9.94177
1,1,1969,12,9.8219
1,1,1970,12,9.73967
1,1,1971,12,9.64651
1,1,1972,12,9.51203
1,1,1973,12,9.37506
1,1,1974,12,9.26754
1,1,1975,12,9.13774
1,1,1976,12,9.08808
1,1,1977,12,9.03118
1,1,1978,12,9.05286
1,1,1979,12,9.0689
1,1,1980,12,9.08772
1,1,1981,12,9.01882
1,1,1982,12,9.00625
1,1,1983,12,8.99114
1,1,1984,12,8.98193
1,1,1985,12,8.94218
1,1,1986,12,8.8641
1,1,1987,12,8.77784
1,1,1988,12,8.66848
