year,area,age,n
1969,2,12,1403570
1970,2,1,5822970
1970,2,2,3979870
1970,2,3,2616510
1970,2,4,1663350
1970,2,5,1819920
1970,2,6,320036
1970,2,7,602537
1970,2,8,1441800
1970,2,9,743207
1970,2,10,385826
1970,2,11,101282
1970,2,12,1104120
1971,2,1,6453190
1971,2,2,2713270
1971,2,3,2253470
1971,2,4,1796080
1971,2,5,1272580
1971,2,6,1422480
1971,2,7,233325
1971,2,8,409797
1971,2,9,994480
1971,2,10,524497
1971,2,11,274309
1971,2,12,835439
1972,2,1,7495580
1972,2,2,3006930
1972,2,3,1536290
1972,2,4,1546840
1972,2,5,1376640
1972,2,6,992934
1972,2,7,1022460
1972,2,8,142336
1972,2,9,255666
1972,2,10,653782
1972,2,11,353222
1972,2,12,739534
1973,2,1,13873800
1973,2,2,3492640
1973,2,3,1702560
1973,2,4,1054700
1973,2,5,1189760
1973,2,6,1069430
1973,2,7,698651
1973,2,8,557125
1973,2,9,82656.5
1973,2,10,160903
1973,2,11,424032
1973,2,12,707970
1974,2,1,19562300
1974,2,2,6464640
1974,2,3,1977120
1974,2,4,1165100
1974,2,5,794534
1974,2,6,905083
1974,2,7,745111
1974,2,8,414544
1974,2,9,354564
1974,2,10,55494.9
1974,2,11,108263
1974,2,12,750849
1975,2,1,9577890
1975,2,2,9115270
1975,2,3,3659080
1975,2,4,1350570
1975,2,5,870409
1975,2,6,598960
1975,2,7,631556
1975,2,8,472244
1975,2,9,270535
1975,2,10,240361
1975,2,11,37664.7
1975,2,12,569546
1976,2,1,5367890
1976,2,2,4462910
1976,2,3,5161260
1976,2,4,2511700
1976,2,5,1037030
1976,2,6,669252
1976,2,7,425918
1976,2,8,396753
1976,2,9,300518
1976,2,10,178619
1976,2,11,161192
1976,2,12,398197
1977,2,1,5626990
1977,2,2,2501220
1977,2,3,2527160
1977,2,4,3547480
1977,2,5,1945260
1977,2,6,806965
1977,2,7,489570
1977,2,8,282088
1977,2,9,263080
1977,2,10,203542
1977,2,11,122160
1977,2,12,376514
1978,2,1,6641860
1978,2,2,2621950
1978,2,3,1416280
1978,2,4,1735690
1978,2,5,2728190
1978,2,6,1511970
1978,2,7,580660
1978,2,8,320097
1978,2,9,186248
1978,2,10,176572
1978,2,11,137162
1978,2,12,332511
1979,2,1,8391350
1979,2,2,3094840
1979,2,3,1484540
1979,2,4,971467
1979,2,5,1321420
1979,2,6,2105040
1979,2,7,1077540
1979,2,8,330858
1979,2,9,186493
1979,2,10,115743
1979,2,11,112467
1979,2,12,298654
1980,2,1,11940200
1980,2,2,3910030
1980,2,3,1752360
1980,2,4,1019110
1980,2,5,745800
1980,2,6,1026260
1980,2,7,1548500
1980,2,8,722312
1980,2,9,228732
1980,2,10,129658
1980,2,11,79586.5
1980,2,12,277027
1981,2,1,9714300
1981,2,2,5563640
1981,2,3,2213980
1981,2,4,1203140
1981,2,5,781560
1981,2,6,577645
1981,2,7,754450
1981,2,8,1067250
1981,2,9,500913
1981,2,10,162178
1981,2,11,91303.4
1981,2,12,244799
1982,2,1,8159900
1982,2,2,4526480
1982,2,3,3149990
1982,2,4,1517530
1982,2,5,911304
1982,2,6,594078
1982,2,7,399809
1982,2,8,489215
1982,2,9,711400
1982,2,10,342207
1982,2,11,111960
1982,2,12,227621
1983,2,1,9600820
1983,2,2,3761130
1983,2,3,2543730
1983,2,4,2143300
1983,2,5,1151550
1983,2,6,693713
1983,2,7,412098
1983,2,8,243918
1983,2,9,306168
1983,2,10,464650
1983,2,11,227090
1983,2,12,224189
1984,2,1,11970200
1984,2,2,4449880
1984,2,3,2128940
1984,2,4,1743170
1984,2,5,1641790
1984,2,6,887130
1984,2,7,487203
1984,2,8,253922
1984,2,9,156113
1984,2,10,203959
1984,2,11,313309
1984,2,12,303239
1985,2,1,5061760
1985,2,2,5513050
1985,2,3,2499000
1985,2,4,1445510
1985,2,5,1311870
1985,2,6,1254990
1985,2,7,643988
1985,2,8,323645
1985,2,9,168325
1985,2,10,105864
1985,2,11,138939
1985,2,12,418189
1986,2,1,9164150
1986,2,2,2331140
1986,2,3,3100560
1986,2,4,1692790
1986,2,5,1096050
1986,2,6,1016180
1986,2,7,928456
1986,2,8,437067
1986,2,9,218507
1986,2,10,115026
1986,2,11,72887.2
1986,2,12,382156
1987,2,1,7971860
1987,2,2,4197380
1987,2,3,1306450
1987,2,4,2093540
1987,2,5,1265570
1987,2,6,833680
1987,2,7,732682
1987,2,8,614704
1987,2,9,292505
1987,2,10,148866
1987,2,11,78686.7
